aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.0065,0.5247,0.5898,5.4321,-12.9395,-24.9023,2.2217,-24.6094,-11.0596
-0.0027,0.6052,0.7817,-0.4272,-17.8833,-27.4048,2.2217,-24.6094,-11.0596
-0.0303,0.7039,0.9440,-10.9863,-19.9585,-35.4614,2.2217,-24.6094,-11.0596
-0.0986,0.8671,1.1970,-15.3809,-18.0664,-41.0156,2.2217,-24.6094,-11.0596
-0.1368,0.9236,1.2615,-20.9351,-14.6484,-47.7905,2.2217,-24.6094,-11.0596
-0.1749,0.9629,1.3254,-24.3530,-7.2632,-63.0493,3.0151,-25.9155,-11.3770
-0.2411,1.0863,1.3716,-22.3999,-3.7231,-71.2280,3.0151,-25.9155,-11.3770
-0.2678,1.1211,1.3466,-17.3950,-0.8545,-80.3223,3.0151,-25.9155,-11.3770
-0.2793,1.1163,1.3411,2.0752,5.6152,-99.2432,3.0151,-25.9155,-11.3770
-0.3459,1.0234,1.2032,10.9253,8.9111,-108.7036,4.9927,-26.3306,-9.1064
-0.3893,0.9460,1.1128,16.8457,11.1084,-117.7979,4.9927,-26.3306,-9.1064
-0.4160,0.9272,1.0581,18.7988,12.1460,-125.6104,4.9927,-26.3306,-9.1064
-0.4087,0.9209,1.0892,20.4468,12.6343,-141.4185,4.9927,-26.3306,-9.1064
-0.4020,0.8247,1.2219,22.0337,14.8926,-150.9399,4.9927,-26.3306,-9.1064
-0.4187,0.6688,1.2246,26.2451,18.6157,-160.3394,8.4473,-24.5117,-7.6294
-0.4518,0.5372,1.1494,29.7852,23.2544,-175.6592,8.4473,-24.5117,-7.6294
-0.4882,0.2401,0.9630,32.6538,30.2734,-182.4341,8.4473,-24.5117,-7.6294
-0.4760,0.0082,0.9160,33.6304,32.2266,-188.4155,8.4473,-24.5117,-7.6294
-0.4575,-0.2550,0.8600,32.8369,34.0576,-194.6411,8.4473,-24.5117,-7.6294
-0.3948,-0.7576,0.7214,29.0527,36.0718,-194.0918,10.6689,-19.4580,-5.9204
-0.3430,-1.0079,0.6523,27.6489,35.5225,-191.0400,10.6689,-19.4580,-5.9204
-0.2992,-1.2362,0.5786,24.1699,32.3486,-178.0396,10.6689,-19.4580,-5.9204
-0.2168,-1.6541,0.4325,22.5220,29.2358,-169.1895,10.6689,-19.4580,-5.9204
-0.1633,-1.8612,0.4229,21.3013,24.8413,-158.7524,9.5703,-18.4204,-5.4687
-0.1113,-1.9999,0.4523,12.5732,14.7095,-130.8594,9.5703,-18.4204,-5.4687
-0.0023,-2.1160,0.6332,11.1084,10.0098,-115.6006,9.5703,-18.4204,-5.4687
0.0583,-2.1451,0.7397,14.4043,6.5918,-99.4873,9.5703,-18.4204,-5.4687
0.0995,-2.1160,0.8257,16.1133,3.8452,-66.2231,9.5703,-18.4204,-4.8462
0.1705,-1.9387,0.9529,14.5874,3.9062,-50.2319,9.3140,-18.6523,-4.8462
0.1969,-1.7725,0.9944,14.2212,4.5166,-35.1563,9.3140,-18.6523,-4.8462
0.2158,-1.5684,1.0081,13.9160,6.7139,-9.8877,9.3140,-18.6523,-4.8462
0.2579,-1.1377,0.9657,14.8926,7.9956,-1.4038,9.3140,-18.6523,-4.8462
0.2734,-0.9471,0.9048,12.6343,8.9111,4.9438,9.5215,-18.2495,-4.7119
0.2789,-0.7926,0.8473,3.5400,8.7280,12.1460,9.5215,-18.2495,-4.7119
0.2664,-0.6104,0.7739,0.9766,7.3853,14.1602,9.5215,-18.2495,-4.7119
0.2581,-0.5457,0.7800,-0.2441,5.4321,15.7471,9.5215,-18.2495,-4.7119
0.2513,-0.4862,0.8157,0.4883,1.2207,18.5547,9.9731,-18.1519,-5.3223
0.2328,-0.3910,0.9038,0.6714,-0.1831,19.5923,9.9731,-18.1519,-5.3223
0.2228,-0.3467,0.9519,1.7700,-1.0376,20.3247,9.9731,-18.1519,-5.3223
0.2096,-0.3030,1.0078,3.7842,-1.1597,20.9351,9.9731,-18.1519,-5.3223
0.1951,-0.2699,1.1000,5.9814,-0.3052,20.8740,9.9731,-18.1519,-5.3223
0.1893,-0.2632,1.1060,7.9346,1.4038,20.6299,10.6201,-18.4082,-4.9438
0.1840,-0.2485,1.0902,7.7515,5.3711,19.9585,10.6201,-18.4082,-4.9438
0.1732,-0.2034,1.0126,6.0425,6.8359,19.4702,10.6201,-18.4082,-4.9438
0.1694,-0.1677,0.9745,7.9956,7.6294,18.8599,10.6201,-18.4082,-4.9438
0.1699,-0.1484,0.9441,11.2915,7.6294,16.2354,10.6323,-17.4805,-4.8584
0.1881,-0.1732,0.9174,18.5547,6.6528,14.8315,10.6323,-17.4805,-4.8584
0.1926,-0.1891,0.9186,19.8975,6.1035,13.6719,10.6323,-17.4805,-4.8584
0.1884,-0.1910,0.9159,16.7236,5.9814,11.5356,10.6323,-17.4805,-4.8584
0.1904,-0.2291,0.9037,10.0098,5.0659,10.3149,10.6323,-17.4805,-4.8584
0.1929,-0.2496,0.8944,9.4604,4.6387,9.7046,10.6567,-17.2852,-6.6528
0.1912,-0.2632,0.8866,9.3994,3.9062,9.4604,10.6567,-17.2852,-6.6528
0.1893,-0.2688,0.9039,5.4321,2.1362,9.3994,10.6567,-17.2852,-6.6528
0.1986,-0.2896,0.9639,4.2114,1.7700,9.4604,10.6567,-17.2852,-6.6528
0.2050,-0.3027,0.9796,4.5776,1.8921,9.7046,10.5103,-16.7847,-6.0059
0.2107,-0.3020,0.9735,5.9204,2.3193,10.8032,10.5103,-16.7847,-6.0059

0.3398,-0.4879,1.3129,-10.5591,-11.9019,-13.4277,10.2783,-16.9556,-5.8228
0.3246,-0.5731,1.4067,-21.8506,-11.6577,-13.0005,10.2783,-16.9556,-5.8228
0.3108,-0.6665,1.5302,-42.7856,-10.3760,-8.7280,10.2783,-16.9556,-5.8228
0.2397,-0.7598,1.8864,-50.0488,-8.3008,-5.1880,10.3394,-18.2373,-5.5542
0.2124,-0.7985,2.0693,-52.1851,-4.8828,-1.4648,10.3394,-18.2373,-5.5542
0.1920,-0.8282,2.2390,-51.1475,7.4463,8.7891,10.3394,-18.2373,-5.5542
0.1321,-0.8188,2.4067,-46.8140,15.9912,14.5874,10.3394,-18.2373,-5.5542
0.1345,-0.7661,2.4843,-48.8892,26.1230,20.6299,10.3394,-18.2373,-5.5542
0.1179,-0.6794,2.4984,-53.2837,50.7813,30.5786,9.8999,-19.2749,-3.5767
0.0831,-0.4260,2.3696,-53.8940,63.8428,33.4473,9.8999,-19.2749,-3.5767
0.0614,-0.3187,2.2179,-54.1992,75.8057,34.5459,9.8999,-19.2749,-3.5767
0.0627,-0.2428,2.0505,-53.2227,94.3604,33.2642,9.8999,-19.2749,-3.5767
0.0635,-0.1603,1.7548,-50.1709,101.1353,31.6772,10.0342,-19.3359,-5.0903
0.0715,-0.1396,1.6244,-48.2178,106.9336,29.9683,10.0342,-19.3359,-5.0903
0.0521,-0.1261,1.5059,-47.7295,115.2954,26.2451,10.0342,-19.3359,-5.0903
0.0249,-0.1189,1.2944,-45.0439,118.2861,24.4141,10.0342,-19.3359,-5.0903
0.0255,-0.1094,1.2238,-41.6870,120.4834,22.6440,10.0342,-19.3359,-5.0903
0.0297,-0.1089,1.1533,-28.8086,124.2676,18.8599,12.5488,-20.0439,-7.2510
0.0369,-0.1807,0.9607,-20.6909,126.2817,17.5781,12.5488,-20.0439,-7.2510
0.0305,-0.2190,0.8383,-13.4277,127.9297,16.9678,12.5488,-20.0439,-7.2510
0.0311,-0.2373,0.6980,-4.9438,129.6387,17.4561,12.5488,-20.0439,-7.2510
0.0416,-0.2577,0.3649,-2.2583,128.8452,18.1274,17.4194,-21.5088,-7.5439
0.0692,-0.2676,0.1979,1.4648,126.5869,18.7988,17.4194,-21.5088,-7.5439
0.1143,-0.2803,0.0372,5.7983,118.4082,21.4233,17.4194,-21.5088,-7.5439
0.1749,-0.2972,-0.2598,4.7607,112.2437,22.8271,17.4194,-21.5088,-7.5439
0.2045,-0.2858,-0.3960,3.1738,104.7974,24.3530,17.4194,-21.5088,-7.5439
