aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.3992,-0.6287,0.1097,14.0991,-64.6973,-69.9463,10.7422,-20.6177,-6.3721
0.3422,-0.7711,0.2732,8.9722,-69.8853,-64.5142,10.7422,-20.6177,-6.3721
0.3165,-0.8260,0.3827,7.1411,-75.1953,-58.4106,10.7422,-20.6177,-6.3721
0.3060,-0.8789,0.5204,7.8735,-79.8950,-43.8232,10.7422,-20.6177,-6.3721
0.2959,-0.9166,0.7588,8.9111,-85.3271,-35.7056,8.4961,-19.6289,-7.6538
0.2860,-0.9281,0.8850,8.7280,-86.4258,-27.8320,8.4961,-19.6289,-7.6538
0.2749,-0.9358,0.9941,8.3008,-85.0830,-12.3291,8.4961,-19.6289,-7.6538
0.2301,-0.9192,1.1492,5.0659,-83.0078,-5.1880,8.4961,-19.6289,-7.6538
0.2279,-0.8914,1.2380,2.9907,-80.4443,1.2207,7.0435,-19.8730,-5.5542
0.2266,-0.8413,1.3168,-0.1831,-73.2422,14.2822,7.0435,-19.8730,-5.5542
0.2218,-0.7565,1.4225,-2.6245,-68.8477,18.8599,7.0435,-19.8730,-5.5542
0.2102,-0.7778,1.4418,-3.1128,-63.7207,23.2544,7.0435,-19.8730,-5.5542
0.1957,-0.7731,1.4709,-17.6392,-52.0630,32.5317,7.0435,-19.8730,-5.5542
0.1508,-0.7323,1.3909,-22.8271,-47.0581,37.6587,6.0303,-21.6309,-6.7261
0.1187,-0.7318,1.3727,-20.6299,-43.3960,43.2129,6.0303,-21.6309,-6.7261
0.0966,-0.7040,1.3755,-21.4844,-38.5742,55.1758,6.0303,-21.6309,-6.7261
0.0725,-0.5708,1.4740,-26.5503,-36.1328,61.1572,6.0303,-21.6309,-6.7261
0.0658,-0.4351,1.5419,-32.4707,-32.8979,66.7114,5.7251,-23.6206,-5.1758
0.0382,-0.2765,1.6006,-41.1377,-25.0854,74.5850,5.7251,-23.6206,-5.1758
0.0006,-0.0151,1.6929,-36.7432,-21.1792,76.6602,5.7251,-23.6206,-5.1758
-0.0115,0.0815,1.7424,-30.7007,-16.9067,77.6978,5.7251,-23.6206,-5.1758
-0.0029,0.1469,1.7950,-24.1089,-12.0239,77.2095,5.7251,-23.6206,-5.1758
0.0199,0.3029,1.8312,-23.8037,0.3662,76.2939,4.5410,-25.4028,-6.2744
0.0281,0.4347,1.7341,-27.8320,7.9346,74.7070,4.5410,-25.4028,-6.2744
0.0261,0.5446,1.6211,-30.8228,21.8506,67.0166,4.5410,-25.4028,-6.2744
