aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.1476,-0.4506,2.4479,-34.6680,62.9272,-9.5825,1.5503,-13.6719,-12.1826
-0.1620,-0.5093,2.2467,-40.7715,73.9746,-8.6670,1.5503,-13.6719,-12.1826
-0.1722,-0.5249,2.1130,-45.7764,84.0454,-7.1411,1.5503,-13.6719,-12.1826
-0.1779,-0.5282,1.9814,-53.6499,100.5859,-3.5400,1.5503,-13.6719,-12.1826
-0.1833,-0.4982,1.7648,-55.7861,106.8726,-1.8921,4.5166,-15.3442,-8.8013
-0.1707,-0.4601,1.6624,-56.7627,112.4268,-0.1831,4.5166,-15.3442,-8.8013
-0.1553,-0.3994,1.5635,-53.9551,121.3379,2.3804,4.5166,-15.3442,-8.8013
-0.1343,-0.3219,1.3776,-52.1851,124.3896,2.2583,4.5166,-15.3442,-8.8013
-0.1190,-0.2686,1.3054,-51.2695,127.4414,1.7700,4.5166,-15.3442,-8.8013
-0.1084,-0.1975,1.2290,-50.9644,132.3853,-0.1831,7.4463,-16.9678,-7.4463
-0.0685,-0.1284,1.0085,-52.1240,133.9722,-1.8921,7.4463,-16.9678,-7.4463
-0.0530,-0.0796,0.8490,-51.3306,134.7656,-3.1128,7.4463,-16.9678,-7.4463
-0.0010,-0.0511,0.7714,-57.6782,133.6060,-8.6670,7.4463,-16.9678,-7.4463
0.0240,-0.0753,0.6415,-55.6641,132.2632,-10.0708,9.2651,-17.4072,-6.4819
0.0253,-0.0491,0.5879,-55.5420,130.9204,-11.0474,9.2651,-17.4072,-6.4819
0.0225,-0.0465,0.5168,-50.9033,125.7324,-13.1226,9.2651,-17.4072,-6.4819
0.0515,-0.0691,0.3348,-34.3628,122.5586,-14.1602,9.2651,-17.4072,-6.4819
0.0753,-0.0759,0.2036,-29.3579,118.9575,-15.0146,9.2651,-17.4072,-6.4819
0.1062,-0.0785,0.0822,-26.6724,109.1919,-17.8833,12.8418,-17.8589,-5.8716
0.1589,-0.1030,-0.1865,-27.5879,102.7832,-19.4702,12.8418,-17.8589,-5.8716
0.1887,-0.1041,-0.3300,-28.3203,95.0928,-21.0571,12.8418,-17.8589,-5.8716
0.2145,-0.0792,-0.4581,-29.1748,75.6836,-24.3530,12.8418,-17.8589,-5.8716
0.2753,-0.0023,-0.6082,-27.5269,64.0869,-26.0620,15.3809,-18.1885,-5.4077
0.2965,0.0469,-0.6787,-21.4233,51.6357,-27.7100,15.3809,-18.1885,-5.4077
0.3069,0.0927,-0.7443,-12.2070,24.0479,-31.4941,15.3809,-18.1885,-5.4077
0.3234,0.1199,-0.8326,10.8643,9.3384,-33.8745,15.3809,-18.1885,-5.4077
0.3256,0.1389,-0.8455,22.6440,-4.6387,-36.1328,15.2466,-17.0166,-4.8096
0.3160,0.1670,-0.8427,41.8701,-32.7759,-42.3584,15.2466,-17.0166,-4.8096
0.3102,0.1200,-0.7997,52.0020,-46.6919,-46.5088,15.2466,-17.0166,-4.8096
0.2987,0.0562,-0.7770,58.1665,-59.4482,-51.0254,15.2466,-17.0166,-4.8096
0.2638,-0.0076,-0.7462,48.0347,-82.3975,-59.9365,15.2466,-17.0166,-4.8096
0.1978,-0.1517,-0.6572,39.4287,-92.8955,-63.8428,12.5244,-14.9292,-6.1035
0.1467,-0.2299,-0.6294,32.2266,-103.4546,-66.9556,12.5244,-14.9292,-6.1035
0.1038,-0.2919,-0.6023,29.6021,-126.6479,-69.1528,12.5244,-14.9292,-6.1035
-0.0383,-0.2887,-0.3798,32.9590,-139.5264,-68.8477,12.5244,-14.9292,-6.1035
-0.1118,-0.2844,-0.1022,46.4478,-153.1372,-68.4204,8.3740,-12.9639,-7.1167
-0.1644,-0.2911,0.1802,77.2705,-171.0815,-70.0684,8.3740,-12.9639,-7.1167
-0.2272,-0.3853,0.6940,90.2710,-175.2930,-71.3501,8.3740,-12.9639,-7.1167
-0.2554,-0.4407,0.9342,96.3745,-176.3306,-72.9370,8.3740,-12.9639,-7.1167
-0.2943,-0.4918,1.1635,97.5342,-170.2881,-76.1108,8.3740,-12.9639,-7.1167
-0.3103,-0.6833,1.7030,100.2197,-164.1235,-77.2705,6.7261,-11.5479,-6.9214
-0.3112,-0.7272,1.8838,90.7593,-154.1138,-78.2471,6.7261,-11.5479,-6.9214
-0.3768,-0.9087,1.9044,57.0068,-129.4556,-77.4536,6.7261,-11.5479,-6.9214
-0.4385,-1.1166,2.0785,80.9937,-119.7510,-73.8525,6.7261,-11.5479,-6.9214
-0.4476,-1.2466,2.1875,85.1440,-108.1543,-69.1528,4.5044,-8.6548,-12.3047
-0.4615,-1.3754,2.3529,85.6934,-84.3506,-56.2134,4.5044,-8.6548,-12.3047
-0.4033,-1.6543,2.5896,76.8433,-70.0684,-47.3633,4.5044,-8.6548,-12.3047
-0.3739,-1.6989,2.5818,67.1997,-54.3213,-37.0483,4.5044,-8.6548,-12.3047
-0.3557,-1.6925,2.5062,39.1846,-22.8882,-15.6250,4.5044,-8.6548,-12.3047
-0.2966,-1.6025,2.2820,23.6206,-9.1553,-5.7373,2.9663,-4.3579,-14.0015
