aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.2990,-0.1852,0.3499,-24.4141,51.5747,-32.8369,11.9141,-23.0835,-7.2144
0.3124,-0.1960,0.2361,-28.1982,49.4385,-32.8979,14.0381,-23.2422,-7.2754
0.3190,-0.2297,0.1371,-29.3579,41.5649,-31.9214,14.0381,-23.2422,-7.2754
0.3519,-0.2416,0.0416,-25.8789,36.4380,-30.3955,14.0381,-23.2422,-7.2754
0.3557,-0.2285,-0.0562,-23.0103,31.4941,-28.8086,14.0381,-23.2422,-7.2754
0.3569,-0.1736,-0.1725,-17.1509,19.4702,-26.1841,14.0381,-23.2422,-7.2754
0.3676,-0.0201,-0.5085,-17.8833,12.1460,-26.0620,14.4897,-24.1455,-7.2388
0.3427,0.0405,-0.7391,-20.1416,3.2959,-27.1606,14.4897,-24.1455,-7.2388
0.3252,0.1066,-0.9945,-21.8506,-20.3857,-31.9824,14.4897,-24.1455,-7.2388
0.2493,0.2555,-1.5538,-29.9072,-36.1328,-35.7056,14.4897,-24.1455,-7.2388
0.1896,0.2743,-1.9172,-33.4473,-54.5044,-40.6494,13.5254,-24.4507,-6.6528
0.0956,0.2252,-2.3235,-27.7100,-102.4170,-50.4761,13.5254,-24.4507,-6.6528
-0.1201,-0.1488,-2.8599,-26.3062,-131.8970,-53.4058,13.5254,-24.4507,-6.6528
-0.2798,-0.4172,-2.8948,-29.7852,-164.2456,-53.4058,13.5254,-24.4507,-6.6528
-0.5079,-0.7596,-2.5897,-42.7246,-231.9336,-41.1377,13.5254,-24.4507,-6.6528
-0.9152,-1.1748,-1.0757,-34.4238,-258.9111,-27.1606,8.5205,-25.0122,-5.4199
-1.1050,-1.3230,-0.2201,-19.7754,-278.2593,-11.2305,8.5205,-25.0122,-5.4199
-1.2458,-1.2332,0.7886,-6.1035,-293.6401,24.2310,8.5205,-25.0122,-5.4199
-1.3286,-0.3566,2.9276,-9.1553,-286.6821,37.2925,8.5205,-25.0122,-5.4199
-1.2477,0.0295,3.9995,-7.9956,-269.6533,43.8232,4.3213,-27.4658,-6.9702
-1.0817,0.4377,3.9995,7.9956,-200.8057,41.1377,4.3213,-27.4658,-6.9702
-0.7900,0.9932,3.9995,21.9116,-156.7993,31.0669,4.3213,-27.4658,-6.9702
