aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.3425,-1.1180,0.0018,-0.4272,-2.1362,1.4648,9.9976,-1.9531,-5.3833
0.3423,-0.8895,0.2416,-1.0376,-5.1880,3.4180,9.9976,-1.9531,-5.3833
0.3416,-0.8236,0.3324,-3.0518,-7.4463,4.0283,9.3628,-2.0630,-6.2744
0.3478,-0.7855,0.4025,-4.6997,-9.0332,4.0894,9.3628,-2.0630,-6.2744
0.3583,-0.7968,0.5039,-5.4321,-8.7891,4.1504,9.3628,-2.0630,-6.2744
0.3689,-0.8027,0.5332,-5.9204,-7.9956,5.2490,9.3628,-2.0630,-6.2744
0.3679,-0.8322,0.5398,-5.0049,-6.1035,8.2397,9.3628,-2.0630,-6.2744
0.3776,-0.7831,0.4628,-2.8076,-5.4932,10.9863,9.5093,-2.7710,-6.5308
0.3789,-0.7345,0.4075,-1.8311,-5.6763,13.3057,9.5093,-2.7710,-6.5308
0.3798,-0.6489,0.3748,-2.2583,-8.2397,16.6626,9.5093,-2.7710,-6.5308
0.3652,-0.4788,0.3240,1.0376,-10.3149,16.7847,9.5093,-2.7710,-6.5308
0.3462,-0.4083,0.3083,3.1738,-12.7563,15.9302,9.6680,-2.8809,-6.4697
0.3361,-0.3442,0.3059,5.0659,-15.0146,12.3901,9.6680,-2.8809,-6.4697
0.2876,-0.2549,0.2728,7.9956,-18.3105,9.8877,9.6680,-2.8809,-6.4697
0.2622,-0.3026,0.2194,9.2773,-19.0430,6.4087,9.6680,-2.8809,-6.4697
0.2300,-0.2933,0.1273,11.5356,-20.9961,1.8311,9.6680,-2.8809,-6.4697
0.1929,-0.3002,-0.1836,19.4702,-23.1323,-0.6104,9.4971,-2.8442,-4.8096
0.1705,-0.3079,-0.3313,17.8833,-27.2827,-2.7466,9.4971,-2.8442,-4.8096
0.1467,-0.3147,-0.4773,4.4556,-40.7104,-7.4463,9.4971,-2.8442,-4.8096
0.0905,-0.4174,-0.7584,-0.1831,-51.0864,-10.4370,9.4971,-2.8442,-4.8096
0.0599,-0.4755,-0.8524,-3.6621,-64.6973,-12.4512,8.7402,-3.8818,-3.4912
0.0239,-0.5212,-0.8892,-2.8076,-97.3511,-13.5498,8.7402,-3.8818,-3.4912
-0.0735,-0.4884,-0.7926,-2.3193,-114.4409,-13.7329,8.7402,-3.8818,-3.4912
-0.1483,-0.4099,-0.6736,-3.3569,-130.7983,-14.1602,8.7402,-3.8818,-3.4912
-0.2335,-0.3268,-0.5031,0.7324,-161.3770,-17.9443,9.0820,-5.8228,-3.5400
-0.4043,-0.2094,-0.0386,1.5869,-173.9502,-21.1792,9.0820,-5.8228,-3.5400
-0.4779,-0.1722,0.2023,-0.9155,-183.8379,-25.2075,9.0820,-5.8228,-3.5400
-0.5605,-0.1986,0.4463,0.4883,-196.6553,-35.5835,9.0820,-5.8228,-3.5400
-0.6661,-0.4353,0.9858,5.4321,-199.7070,-40.0391,9.0820,-5.8228,-3.5400
-0.6978,-0.6058,1.2570,6.5918,-199.2798,-42.9688,7.5806,-4.1870,-7.5684
-0.7109,-0.7699,1.5134,3.9673,-188.8428,-41.6260,7.5806,-4.1870,-7.5684
-0.6797,-0.9783,1.8810,3.1738,-179.6265,-38.3301,7.5806,-4.1870,-7.5684
-0.6536,-1.0442,2.0170,4.9438,-169.2505,-34.0576,7.5806,-4.1870,-7.5684
-0.6023,-1.0685,2.1041,4.0283,-145.2026,-26.2451,2.0142,-1.8921,-11.7920
-0.5698,-1.0448,2.4022,10.1929,-132.9346,-19.4092,2.0142,-1.8921,-11.7920
-0.5300,-1.2140,2.1268,7.5684,-118.7744,-15.9302,2.0142,-1.8921,-11.7920
-0.5389,-1.1250,2.2152,19.6533,-97.3511,-5.3101,2.0142,-1.8921,-11.7920
-0.4711,-1.0597,2.2517,17.8223,-85.3882,-2.5635,2.0142,-1.8921,-11.7920
-0.4441,-1.0228,2.2280,13.6719,-73.6694,0.3052,-1.3428,-1.0620,-11.7554
-0.4248,-1.0013,2.2386,2.1973,-51.2085,4.2114,-1.3428,-1.0620,-11.7554
-0.3861,-0.9585,2.2635,-1.7700,-39.4897,6.4087,-1.3428,-1.0620,-11.7554
-0.3755,-0.9392,2.2343,-3.1128,-27.3438,8.6060,-1.3428,-1.0620,-11.7554
-0.3635,-0.9141,2.1721,-0.6104,-3.6621,12.8174,-2.1240,-1.5503,-12.0239
-0.3440,-0.8522,1.9235,-0.8545,6.9580,14.7095,-2.1240,-1.5503,-12.0239
-0.3313,-0.8192,1.7728,-2.0752,16.9678,15.8691,-2.1240,-1.5503,-12.0239
-0.3242,-0.7831,1.6150,2.7466,32.8979,18.2495,-2.1240,-1.5503,-12.0239
-0.3016,-0.6436,1.2572,7.5073,37.7197,20.0195,-2.1240,-1.5503,-12.0239
-0.2836,-0.5757,1.1372,9.6436,40.6494,20.3247,-0.8667,-1.7334,-11.8530
-0.2683,-0.5316,1.0342,4.6997,43.5791,17.8833,-0.8667,-1.7334,-11.8530
-0.2461,-0.5197,0.8248,1.9531,43.5791,16.2354,-0.8667,-1.7334,-11.8530
-0.2402,-0.5421,0.7590,0.4883,42.3584,14.4653,-0.8667,-1.7334,-11.8530
-0.2303,-0.5892,0.7196,2.2583,38.4521,11.7798,0.6348,-1.3062,-11.9751
-0.2101,-0.6888,0.6729,2.3193,36.3159,11.6577,0.6348,-1.3062,-11.9751
-0.1990,-0.7308,0.6484,3.1128,33.9355,12.6953,0.6348,-1.3062,-11.9751
-0.1914,-0.7681,0.6646,-1.0986,29.9683,15.1978,0.6348,-1.3062,-11.9751
-0.2001,-0.7797,0.7290,-3.0518,29.1138,17.0288,0.6348,-1.3062,-11.9751
-0.1788,-0.7407,0.7408,-3.5400,28.8086,19.0430,2.2705,-1.2695,-12.6587

0.1370,-0.7522,0.7295,-7.9346,-103.8818,-12.8784,12.4878,-1.1108,-4.8218
0.1202,-0.7291,0.7106,-8.3008,-101.8066,-11.5967,12.4878,-1.1108,-4.8218
0.1066,-0.7236,0.6960,-6.1035,-100.0366,-9.8267,10.3882,-2.8564,-4.1382
0.0842,-0.6907,0.6522,-5.2490,-100.7690,-8.8501,10.3882,-2.8564,-4.1382
0.0629,-0.6981,0.7048,-6.1035,-102.2339,-8.7891,10.3882,-2.8564,-4.1382
0.0327,-0.7520,0.7704,-6.1646,-105.0415,-8.0566,10.3882,-2.8564,-4.1382
-0.0107,-0.7748,0.9966,-4.6387,-104.9194,-7.2021,9.3262,-4.6509,-5.3467
-0.0233,-0.7885,1.0367,-4.2114,-103.9429,-6.4087,9.3262,-4.6509,-5.3467
-0.0492,-0.7693,1.1399,3.8452,-100.7080,-3.3569,9.3262,-4.6509,-5.3467
-0.0653,-0.7546,1.2693,4.9438,-98.2666,-2.8687,9.3262,-4.6509,-5.3467
-0.0714,-0.7479,1.3396,4.4556,-95.2759,-2.1973,9.3262,-4.6509,-5.3467
-0.0786,-0.7189,1.3789,9.7046,-87.0972,-0.1831,7.7515,-5.7129,-7.8857
-0.0653,-0.6599,1.4329,13.7329,-83.3130,0.1221,7.7515,-5.7129,-7.8857
-0.0602,-0.6842,1.5032,13.5498,-79.1016,-0.3052,7.7515,-5.7129,-7.8857
-0.0576,-0.6970,1.5793,5.2490,-68.2983,-0.4272,7.7515,-5.7129,-7.8857
-0.0469,-0.7439,1.6368,0.8545,-61.8286,0.1221,5.2734,-5.5298,-9.7778
-0.0582,-0.7791,1.7104,-5.1880,-55.1147,0.7324,5.2734,-5.5298,-9.7778
-0.0515,-0.7544,1.6991,-4.7607,-41.3818,4.3335,5.2734,-5.5298,-9.7778
-0.0502,-0.6738,1.6838,-3.8452,-35.0952,5.4321,5.2734,-5.5298,-9.7778
-0.0410,-0.6191,1.6545,-1.1597,-28.9917,6.1646,5.2734,-5.5298,-9.7778
-0.0315,-0.5160,1.5842,1.5259,-18.1274,4.7607,4.2358,-5.2612,-10.9131
-0.0190,-0.4347,1.5272,0.1831,-13.5498,2.0752,4.2358,-5.2612,-10.9131
-0.0204,-0.3789,1.5187,-1.9531,-9.0332,-0.3052,4.2358,-5.2612,-10.9131
-0.0266,-0.3860,1.5402,-5.6152,-0.7935,-4.8828,4.2358,-5.2612,-10.9131
-0.0382,-0.4163,1.5308,-6.1646,4.2114,-5.9814,4.8096,-6.0059,-11.8774
-0.0348,-0.4164,1.4885,-5.3101,9.2163,-7.0801,4.8096,-6.0059,-11.8774
-0.0397,-0.4304,1.4471,-1.3428,17.5781,-9.3994,4.8096,-6.0059,-11.8774
-0.0376,-0.4153,1.3475,-0.4883,20.9961,-10.4370,4.8096,-6.0059,-11.8774
-0.0388,-0.4176,1.3569,-2.3193,23.4985,-11.9019,4.8096,-6.0059,-11.8774
-0.0497,-0.4221,1.3901,-4.5776,30.3955,-14.0991,4.7852,-5.4932,-10.8032
-0.0684,-0.4349,1.4226,-3.7842,34.4238,-15.0146,4.7852,-5.4932,-10.8032
-0.0685,-0.4297,1.4111,-2.1362,38.7573,-15.9912,4.7852,-5.4932,-10.8032
-0.0699,-0.4327,1.3744,0.7935,47.5464,-17.8223,4.7852,-5.4932,-10.8032
